a -d
len     time    state
107     0.059   1456
371     40.786  590373
124     8.376   124926
192     261.210 2531385
204     34.500  472448
1459    60.417  982846
125     0.765   15178
90      0.366   7096
196     16.363  233323
168     32.878  376380
123     2.303   38323
162     3.905   61278
307     16.802  222631

fa -d
len     time    state
107     0.034   216
479     29.272  68168
183     19.330  26349
266     96.978  183135
278     89.607  168324
2039    53.946  102591
141     0.666   2964
94      0.327   1803
234     7.978   21551
184     75.732  189343
173     2.976   8284
194     3.432   10103
351     3.344   11154
